x_center,y_center,box_length,score
422.0,356.0,26.0,0.79319828748703
298.0,466.0,24.0,0.7743831276893616
222.0,416.0,21.0,0.7651681303977966
500.0,438.0,27.0,0.7631321549415588
780.0,51.0,26.0,0.7627077102661133
590.0,585.0,26.0,0.7582916021347046
128.0,556.0,24.0,0.7519468665122986
978.0,396.0,21.0,0.7479473352432251
520.0,980.0,21.0,0.744648814201355
828.0,216.0,29.0,0.741237461566925
650.0,819.0,24.0,0.7321775555610657
969.0,369.0,24.0,0.7311776876449585
936.0,916.0,24.0,0.7289326190948486
604.0,774.0,21.0,0.7277159094810486
843.0,333.0,37.0,0.7240691184997559
214.0,297.0,31.0,0.7147815823554993
901.0,917.0,21.0,0.7119330763816833
308.0,214.0,26.0,0.7095848917961121
265.0,646.0,21.0,0.7023860216140747
153.0,657.0,21.0,0.7023671865463257
890.0,369.0,31.0,0.70118248462677
284.0,835.0,29.0,0.6988148093223572
728.0,551.0,26.0,0.6884039640426636
432.0,314.0,19.0,0.6868768930435181
511.0,622.0,24.0,0.686784565448761
787.0,982.0,24.0,0.6812214255332947
729.0,360.0,21.0,0.674917995929718
337.0,361.0,26.0,0.673484742641449
231.0,107.0,24.0,0.6663450002670288
421.0,885.0,21.0,0.6620153784751892
878.0,623.0,21.0,0.659008264541626
997.0,103.0,19.0,0.6560537219047546
543.0,253.0,24.0,0.6558746695518494
467.0,789.0,19.0,0.6557342410087585
71.0,17.0,21.0,0.6506012678146362
922.0,786.0,24.0,0.649595320224762
257.0,372.0,21.0,0.6469931602478027
634.0,351.0,21.0,0.6411909461021423
59.0,834.0,21.0,0.6399834156036377
650.0,656.0,19.0,0.6377357840538025
697.0,933.0,35.0,0.6349603533744812
186.0,658.0,21.0,0.6313920617103577
90.0,833.0,19.0,0.6295334696769714
185.0,763.0,17.0,0.6270871162414551
772.0,92.0,21.0,0.6267239451408386
728.0,892.0,23.0,0.6260206699371338
395.0,614.0,17.0,0.6230344176292419
618.0,918.0,19.0,0.6189480423927307
310.0,652.0,17.0,0.6159625053405762
32.0,401.0,26.0,0.6108931303024292
167.0,550.0,17.0,0.6080862879753113
165.0,178.0,17.0,0.6058294773101807
167.0,719.0,17.0,0.6038914322853088
354.0,881.0,17.0,0.5998731851577759
89.0,541.0,17.0,0.5982748866081238
14.0,422.0,17.0,0.5973194241523743
175.0,234.0,17.0,0.5966072082519531
446.0,706.0,21.0,0.5935746431350708
310.0,114.0,17.0,0.5918723344802856
220.0,867.0,17.0,0.5871334075927734
78.0,893.0,17.0,0.5836749076843262
997.0,449.0,19.0,0.5834476351737976
98.0,27.0,17.0,0.5813416242599487
253.0,537.0,19.0,0.5807491540908813
12.0,915.0,17.0,0.5805130004882812
181.0,12.0,17.0,0.5798543691635132
636.0,46.0,19.0,0.578996479511261
984.0,764.0,19.0,0.5784557461738586
996.0,479.0,17.0,0.5779642462730408
291.0,891.0,17.0,0.5756587982177734
962.0,970.0,19.0,0.5708104372024536
438.0,857.0,17.0,0.5689611434936523
177.0,157.0,19.0,0.5670082569122314
630.0,488.0,17.0,0.5668740272521973
241.0,356.0,19.0,0.5605643391609192
236.0,480.0,17.0,0.5553359985351562
354.0,698.0,19.0,0.5535024404525757
613.0,228.0,17.0,0.5512704253196716
698.0,252.0,21.0,0.5501211881637573
332.0,543.0,17.0,0.544024646282196
449.0,725.0,17.0,0.5417989492416382
619.0,830.0,19.0,0.5405897498130798
945.0,989.0,17.0,0.5403756499290466
290.0,674.0,17.0,0.5390284061431885
298.0,612.0,17.0,0.5369564294815063
551.0,341.0,17.0,0.5360614061355591
832.0,711.0,19.0,0.5360468626022339
836.0,459.0,17.0,0.5330002903938293
244.0,442.0,17.0,0.532410740852356
973.0,815.0,17.0,0.5317375063896179
906.0,385.0,17.0,0.5286970138549805
627.0,312.0,17.0,0.5274941921234131
522.0,110.0,17.0,0.5271757245063782
610.0,17.0,19.0,0.5265385508537292
179.0,514.0,21.0,0.5231066346168518
474.0,628.0,17.0,0.5210299491882324
28.0,222.0,19.0,0.5209266543388367
572.0,949.0,17.0,0.5166149735450745
304.0,869.0,17.0,0.5165616869926453
53.0,387.0,24.0,0.5149250030517578
996.0,637.0,17.0,0.5132429599761963
129.0,888.0,17.0,0.5113425254821777
507.0,749.0,17.0,0.5104393362998962
191.0,892.0,17.0,0.5103951096534729
631.0,405.0,17.0,0.5068314671516418
26.0,341.0,17.0,0.5055020451545715
596.0,961.0,17.0,0.5024953484535217
573.0,218.0,17.0,0.5010054707527161
