x_center,y_center,box_length,score
125.0,918.0,24.0,0.8219542503356934
557.0,370.0,21.0,0.7599530220031738
950.0,699.0,23.0,0.732170820236206
596.0,987.0,21.0,0.6996634006500244
424.0,226.0,23.0,0.6787841320037842
696.0,837.0,21.0,0.651229202747345
425.0,544.0,17.0,0.6465041637420654
570.0,812.0,21.0,0.6361091732978821
310.0,973.0,21.0,0.6358294486999512
839.0,323.0,29.0,0.6343786716461182
556.0,770.0,17.0,0.6214316487312317
337.0,931.0,17.0,0.6120113730430603
808.0,693.0,17.0,0.6030660271644592
485.0,397.0,21.0,0.5999382734298706
425.0,941.0,24.0,0.5912091732025146
555.0,947.0,17.0,0.5764307379722595
317.0,993.0,21.0,0.5648256540298462
448.0,826.0,17.0,0.564308226108551
815.0,760.0,17.0,0.5621457695960999
673.0,729.0,21.0,0.5476672649383545
678.0,852.0,19.0,0.5429925918579102
891.0,165.0,21.0,0.5383256673812866
288.0,1009.0,19.0,0.536934494972229
886.0,336.0,17.0,0.5202273726463318
639.0,889.0,21.0,0.5199963450431824
646.0,829.0,17.0,0.515902042388916
349.0,962.0,19.0,0.5091028809547424
935.0,954.0,19.0,0.5070135593414307
