x_center,y_center,box_length,score
1010.0,599.0,21.0,0.7505859136581421
117.0,969.0,21.0,0.7347679138183594
804.0,737.0,24.0,0.7308760285377502
462.0,523.0,21.0,0.7308308482170105
649.0,521.0,21.0,0.7059169411659241
508.0,353.0,27.0,0.7022955417633057
720.0,612.0,26.0,0.6917828917503357
374.0,326.0,19.0,0.6912487149238586
905.0,111.0,21.0,0.69124835729599
830.0,231.0,19.0,0.6840521097183228
119.0,560.0,19.0,0.6773099303245544
804.0,912.0,19.0,0.6725800037384033
455.0,914.0,21.0,0.6706790328025818
554.0,552.0,21.0,0.6706428527832031
639.0,835.0,21.0,0.667328417301178
64.0,603.0,19.0,0.6623652577400208
427.0,485.0,21.0,0.6484923362731934
723.0,350.0,17.0,0.6433226466178894
333.0,33.0,19.0,0.6300284266471863
168.0,247.0,17.0,0.6224333047866821
781.0,495.0,19.0,0.6124973893165588
440.0,501.0,17.0,0.609312891960144
257.0,680.0,25.0,0.6087709665298462
290.0,828.0,19.0,0.6043566465377808
880.0,615.0,17.0,0.596707284450531
959.0,438.0,17.0,0.5889864563941956
536.0,794.0,17.0,0.5887492299079895
856.0,843.0,17.0,0.5822879076004028
536.0,127.0,21.0,0.5807993412017822
667.0,612.0,19.0,0.5733806490898132
898.0,580.0,19.0,0.563207745552063
164.0,647.0,17.0,0.5585249066352844
386.0,234.0,25.0,0.5566408038139343
639.0,981.0,19.0,0.5551227331161499
925.0,299.0,21.0,0.5495954751968384
446.0,702.0,19.0,0.5473045110702515
629.0,156.0,17.0,0.5263027548789978
550.0,1014.0,17.0,0.5134186148643494
